,open,high,low,close,volume
2016-05-13,130.59375,130.984375,130.546875,130.984375,1247898.0
2016-05-16,131.03125,131.109375,130.484375,130.5,886218.0
2016-05-17,130.515625,130.625,130.28125,130.296875,1092549.0
2016-05-18,130.296875,130.375,129.328125,129.578125,1882385.0
2016-05-19,129.546875,129.78125,129.3125,129.609375,1569202.0
2016-05-20,129.640625,129.796875,129.5,129.765625,860016.0
2016-05-23,129.71875,129.9375,129.609375,129.765625,1008121.0
2016-05-24,129.78125,129.890625,129.390625,129.484375,1688272.0
2016-05-25,129.53125,129.609375,129.328125,129.46875,1966390.0
2016-05-26,129.46875,129.90625,129.4375,129.859375,1700810.0
2016-05-27,129.828125,129.90625,129.46875,129.515625,927406.0
2016-05-31,129.5,129.796875,129.296875,129.640625,369704.0
2016-06-01,129.65625,130.015625,129.59375,129.6875,126780.0
2016-06-02,129.671875,130.03125,129.640625,129.953125,77914.0
2016-06-03,129.9375,131.015625,129.875,130.96875,54371.0
2016-06-06,131.0,131.0,130.625,130.71875,35730.0
2016-06-07,130.78125,131.03125,130.671875,130.90625,22046.0
2016-06-08,130.921875,131.046875,130.859375,130.9375,8478.0
2016-06-09,130.921875,131.25,130.890625,131.03125,9091.0
2016-06-10,131.046875,131.53125,131.03125,131.453125,11818.0
2016-06-13,131.59375,131.78125,131.484375,131.703125,4371.0
2016-06-14,131.71875,132.125,131.625,131.65625,7576.0
2016-06-15,131.671875,132.140625,131.515625,132.140625,4856.0
2016-06-16,132.15625,132.546875,131.984375,132.0,4700.0
2016-06-17,132.078125,132.078125,131.734375,131.828125,3183.0
2016-06-20,131.390625,131.53125,131.140625,131.25,5491.0
2016-06-21,131.421875,131.5,131.25,131.328125,2730.0
2016-06-22,131.203125,131.421875,131.15625,131.34375,852801.0
2016-06-23,131.28125,131.28125,130.734375,130.75,1035451.0
2016-06-24,130.703125,134.21875,130.671875,132.59375,2980317.0
2016-06-27,132.75,133.46875,132.703125,133.453125,1264097.0
2016-06-28,133.4375,133.5625,133.03125,133.171875,1093622.0
2016-06-29,133.1875,133.3125,132.6875,132.703125,1016637.0
2016-06-30,132.703125,133.234375,132.4375,133.0625,3714861.0
2016-07-01,133.03125,133.921875,132.984375,133.25,1306807.0
2016-07-05,133.296875,133.984375,133.0,133.828125,1076380.0
2016-07-06,133.84375,134.234375,133.578125,133.84375,1379581.0
2016-07-07,133.84375,133.9375,133.34375,133.671875,1140481.0
2016-07-08,133.6875,134.015625,133.046875,133.84375,1418052.0
2016-07-11,133.859375,133.890625,133.140625,133.1875,896678.0
2016-07-12,133.15625,133.25,132.359375,132.5,1382785.0
2016-07-13,132.484375,132.9375,132.46875,132.734375,1142253.0
2016-07-14,132.734375,132.90625,132.1875,132.3125,1299029.0
2016-07-15,132.34375,132.515625,131.78125,132.25,1197277.0
2016-07-18,131.9375,132.25,131.734375,132.0,808652.0
2016-07-19,132.046875,132.40625,132.0,132.265625,850574.0
2016-07-20,132.296875,132.328125,131.859375,131.96875,807898.0
2016-07-21,131.96875,132.34375,131.609375,132.3125,1217018.0
2016-07-22,132.296875,132.515625,131.90625,132.125,904922.0
2016-07-25,132.125,132.265625,131.890625,132.03125,690179.0
2016-07-26,132.03125,132.34375,131.859375,132.109375,1001060.0
2016-07-27,132.140625,132.671875,131.828125,132.65625,1125990.0
2016-07-28,132.640625,132.75,132.34375,132.625,1059306.0
2016-07-29,132.65625,133.140625,132.109375,133.09375,1543668.0
2016-08-01,133.125,133.125,132.5625,132.578125,1011526.0
2016-08-02,132.59375,132.71875,132.203125,132.375,1394236.0
2016-08-03,132.40625,132.640625,132.265625,132.5625,987778.0
2016-08-04,132.578125,133.09375,132.453125,132.953125,1073016.0
2016-08-05,133.015625,133.0625,132.046875,132.0625,1285797.0
2016-08-08,132.046875,132.203125,131.84375,131.96875,956121.0
2016-08-09,131.984375,132.421875,131.921875,132.3125,868947.0
2016-08-10,132.3125,132.78125,132.3125,132.71875,986734.0
2016-08-11,132.703125,132.78125,132.0,132.109375,969870.0
2016-08-12,132.09375,132.90625,132.03125,132.546875,1151730.0
2016-08-15,132.546875,132.703125,132.171875,132.1875,755743.0
2016-08-16,132.21875,132.640625,131.875,131.96875,1409470.0
2016-08-17,132.0,132.390625,131.828125,132.203125,1070959.0
2016-08-18,132.21875,132.484375,132.078125,132.390625,860395.0
2016-08-19,132.421875,132.4375,131.828125,131.953125,964415.0
2016-08-22,131.890625,132.3125,131.6875,132.234375,923347.0
2016-08-23,132.265625,132.421875,132.046875,132.265625,981300.0
2016-08-24,132.28125,132.359375,132.109375,132.1875,1266231.0
2016-08-25,132.1875,132.296875,132.0,132.03125,2015917.0
2016-08-26,132.046875,132.4375,131.359375,131.375,2705917.0
2016-08-29,131.375,132.0,131.296875,131.984375,1627859.0
2016-08-30,131.96875,132.03125,131.6875,131.90625,969839.0
2016-08-31,131.921875,132.078125,131.71875,131.71875,482438.0
2016-09-01,131.734375,132.015625,131.390625,131.875,179445.0
2016-09-02,131.828125,132.265625,131.46875,131.671875,48905.0
2016-09-06,131.671875,132.359375,131.5625,132.34375,36243.0
2016-09-07,132.328125,132.484375,132.21875,132.28125,24597.0
2016-09-08,132.28125,132.359375,131.625,131.796875,13171.0
2016-09-09,131.765625,131.84375,131.265625,131.296875,12973.0
2016-09-12,131.25,131.578125,131.15625,131.484375,7411.0
2016-09-13,131.5,131.734375,130.8125,131.0,14150.0
2016-09-14,131.03125,131.46875,130.9375,131.359375,19411.0
2016-09-15,131.375,131.8125,131.125,131.53125,10679.0
2016-09-16,131.578125,131.828125,131.390625,131.484375,2441.0
2016-09-19,131.53125,131.609375,131.28125,131.28125,5006.0
2016-09-20,131.328125,131.65625,131.28125,131.453125,4595.0
2016-09-21,131.421875,131.5625,131.109375,131.3125,2123.0
2016-09-22,130.703125,131.09375,130.65625,130.9375,1016277.0
