,open,high,low,close,volume
2004-07-28,108.734375,109.0,108.625,108.953125,438057.0
2004-07-29,108.984375,109.109375,108.765625,109.0625,309238.0
2004-07-30,109.03125,109.53125,108.96875,109.5,563919.0
2004-08-02,109.78125,109.921875,109.53125,109.609375,290874.0
2004-08-03,109.578125,109.78125,109.4375,109.734375,325120.0
2004-08-04,109.71875,109.90625,109.5625,109.734375,329121.0
2004-08-05,109.75,109.96875,109.71875,109.859375,288440.0
2004-08-06,109.90625,111.375,109.875,110.984375,713882.0
2004-08-09,110.96875,111.09375,110.734375,110.828125,277296.0
2004-08-10,110.75,110.90625,110.375,110.484375,411690.0
2004-08-11,110.4375,110.640625,110.390625,110.578125,341101.0
2004-08-12,110.609375,110.8125,110.4375,110.75,368892.0
2004-08-13,110.75,111.125,110.734375,111.015625,369977.0
2004-08-16,110.9375,111.015625,110.6875,110.890625,310023.0
2004-08-17,110.84375,111.21875,110.765625,111.140625,342996.0
2004-08-18,111.1875,111.40625,110.96875,111.046875,461355.0
2004-08-19,110.984375,111.203125,110.953125,111.1875,328318.0
2004-08-20,111.171875,111.28125,111.0,111.03125,231081.0
2004-08-23,111.03125,111.046875,110.734375,110.84375,337160.0
2004-08-24,110.828125,110.921875,110.640625,110.859375,341811.0
2004-08-25,110.890625,111.078125,110.71875,110.875,422125.0
2004-08-26,110.875,111.078125,110.796875,111.015625,386732.0
2004-08-27,111.078125,111.21875,110.984375,111.015625,485969.0
2004-08-30,111.015625,111.25,110.96875,111.203125,260466.0
2004-08-31,111.25,111.703125,111.15625,111.515625,239912.0
2004-09-01,111.625,111.796875,111.390625,111.59375,152540.0
2004-09-02,111.640625,111.671875,111.234375,111.328125,140044.0
2004-09-03,111.296875,111.65625,110.75,110.78125,67603.0
2004-09-07,110.75,111.0,110.71875,110.9375,78397.0
2004-09-08,110.9375,111.4375,110.75,111.421875,67627.0
2004-09-09,111.421875,111.578125,111.25,111.296875,49101.0
2004-09-10,111.40625,111.671875,111.359375,111.375,24844.0
2004-09-13,111.328125,111.5,111.328125,111.453125,26356.0
2004-09-14,111.5,111.59375,111.4375,111.578125,20114.0
2004-09-15,111.53125,111.53125,111.359375,111.375,22163.0
2004-09-16,111.453125,111.875,111.328125,111.828125,14560.0
2004-09-17,111.921875,111.921875,111.5,111.53125,17074.0
2004-09-20,111.625,111.90625,111.625,111.890625,23008.0
2004-09-21,111.875,111.875,111.6875,111.703125,20073.0
2004-09-22,111.15625,111.359375,110.984375,111.265625,450259.0
2004-09-23,111.296875,111.453125,110.9375,110.984375,513351.0
